Question,Segment Type,Segment Description,Platform,Count,Percentage
What social platform has influenced your online shopping most?,All Users,All Users,Facebook,548,0.205
What social platform has influenced your online shopping most?,All Users,All Users,Instagram,916,0.342
What social platform has influenced your online shopping most?,All Users,All Users,Snapchat,86,0.032
What social platform has influenced your online shopping most?,All Users,All Users,Twitter,179,0.067
What social platform has influenced your online shopping most?,All Users,All Users,None,947,0.354
What social platform has influenced your online shopping most?,Gender,Female,Facebook,222,0.199
What social platform has influenced your online shopping most?,Gender,Female,Instagram,535,0.48
What social platform has influenced your online shopping most?,Gender,Female,Snapchat,29,0.026
What social platform has influenced your online shopping most?,Gender,Female,Twitter,57,0.051
What social platform has influenced your online shopping most?,Gender,Female,None,271,0.243
What social platform has influenced your online shopping most?,Gender,Male,Facebook,326,0.209
What social platform has influenced your online shopping most?,Gender,Male,Instagram,380,0.243
What social platform has influenced your online shopping most?,Gender,Male,Snapchat,56,0.036
What social platform has influenced your online shopping most?,Gender,Male,Twitter,122,0.078
What social platform has influenced your online shopping most?,Gender,Male,None,678,0.434
What social platform has influenced your online shopping most?,Public vs Private Schooling,Private,Facebook,61,0.169
What social platform has influenced your online shopping most?,Public vs Private Schooling,Private,Instagram,105,0.29
What social platform has influenced your online shopping most?,Public vs Private Schooling,Private,Snapchat,8,0.022
What social platform has influenced your online shopping most?,Public vs Private Schooling,Private,Twitter,20,0.055
What social platform has influenced your online shopping most?,Public vs Private Schooling,Private,None,168,0.464
What social platform has influenced your online shopping most?,Gaming Habits,Console mostly,Facebook,20,0.135
What social platform has influenced your online shopping most?,Gaming Habits,Console mostly,Instagram,37,0.25
What social platform has influenced your online shopping most?,Gaming Habits,Console mostly,Snapchat,8,0.054
What social platform has influenced your online shopping most?,Gaming Habits,Console mostly,Twitter,22,0.149
What social platform has influenced your online shopping most?,Gaming Habits,Console mostly,None,61,0.412
What social platform has influenced your online shopping most?,Family Income,> $240K,Facebook,70,0.23
What social platform has influenced your online shopping most?,Family Income,> $240K,Instagram,83,0.273
What social platform has influenced your online shopping most?,Family Income,> $240K,Snapchat,8,0.026
What social platform has influenced your online shopping most?,Family Income,> $240K,Twitter,13,0.043
What social platform has influenced your online shopping most?,Family Income,> $240K,None,130,0.428
What social platform has influenced your online shopping most?,Family Income,90K - $160K,Facebook,71,0.157
What social platform has influenced your online shopping most?,Family Income,90K - $160K,Instagram,149,0.33
What social platform has influenced your online shopping most?,Family Income,90K - $160K,Snapchat,11,0.024
What social platform has influenced your online shopping most?,Family Income,90K - $160K,Twitter,42,0.093
What social platform has influenced your online shopping most?,Family Income,90K - $160K,None,178,0.395
What social platform has influenced your online shopping most?,Family Income,50K - $90K,Facebook,41,0.121
What social platform has influenced your online shopping most?,Family Income,50K - $90K,Instagram,111,0.326
What social platform has influenced your online shopping most?,Family Income,50K - $90K,Snapchat,12,0.035
What social platform has influenced your online shopping most?,Family Income,50K - $90K,Twitter,32,0.094
What social platform has influenced your online shopping most?,Family Income,50K - $90K,None,144,0.424
What social platform has influenced your online shopping most?,Family Income,< $50K,Facebook,15,0.112
What social platform has influenced your online shopping most?,Family Income,< $50K,Instagram,45,0.336
What social platform has influenced your online shopping most?,Family Income,< $50K,Snapchat,7,0.052
What social platform has influenced your online shopping most?,Family Income,< $50K,Twitter,10,0.075
What social platform has influenced your online shopping most?,Family Income,< $50K,None,57,0.425
